Comparison of mean adc for PMT 11 before and after resistors.
             (1602)                (1608)
Pixel        Mean      Sigma       Mean       Sigma
1	     559       120	   389.2      158.4         
2	     477       109	   359.6      111.9
3	     549       117	   395.6      81.9           
4	     426       100	   327.1      75.5
5	     597       104	   366.0      139.4
6	     974       218	   392.9      87.4
8	     967       209	   357.2      72.2
9	     435       89	   336.2      65.6
10	     618       112	   343.5      89.3
12	     963       198	   342.1      95.4
13	     571       128	   356.2      100.8
14	     692       141	   385.0      91.3
15	     538       105	   380.4      83.2
16	     492       124	   365.4      93.1
