Comparison of mean adc for PMT 6 before and after resistors.
             (1593)                (1603)
Pixel        Mean      Sigma       Mean       Sigma
1  	     720       203	   291.3      70.6         
2            412       143	   290.6      113.3
3	     2588      622     	   232.2      147.9      
5            446       111	   309.1      109.8
6            412       98	   321.7      88.9
7            423       97	   303.7      69.8
8            458       113	   320.7      78.7
9            284       59	   278.5      63.8
10           448       97	   303.2      787.1
11           470       56	   326.6      74.2
12           410       83	   313.4      75.0
13           268       89	   343.3      70.4
14           249       62	   262.5      65.9
15           578       196	   311.2      78.4
