Comparison of mean adc for PMT 7 before and after resistors.
             (1593)                (1604)
Pixel        Mean      Sigma       Mean       Sigma
1	     199       47	   193.6      52.0        
2	     163       41	   187.3      41.7
3	     155       47	   185.1      47.2        
4	     213       54	   201.3      48.8
5	     187       42	   198.3      50.9
6	     230       55	   195.2      47.4
7	     195       59	   208.2      58.1
8	     216       49	   189.8      48.2
10	     232       47	   191.5      46.5
11	     236       51	   191.0      44.2
12	     182       45	   187.3      42.7
13	     197       56	   199.2      44.7
14	     199       50	   200.2      55.5
15	     200       43	   192.0      46.8
