Comparison of mean adc for PMT 10 before and after resistors.
             (1602)                (1605)
Pixel        Mean      Sigma       Mean       Sigma
1	     462       127	   497.2      353.9         
2	     928       285	   618.6      130.2
3	     867       148	   595.6      99.3           
5	     842       157	   580.3      129.5
6	     953       255	   612.6      163.8
7	     980       224	   571.1      108.1
8	     920       180	   620	      158.4
9	     652       111	   596.8      118.2
10	     748       150	   550.6      140.7
11	     537       122	   560.7      131.2
12	     780       169	   596.4      111.1
13	     895       158	   589.7      134.5
15	     574       166	   596.7      169.1
16	     1471      473	   611.1      184.4
