Comparison of mean adc for PMT 1 before and after resistors.
             (1593)                (1602)
Pixel        Mean      Sigma       Mean       Sigma
1  	     350       142	   418	      105         
2            457       111	   436	      115
3	     377       90	   398	      84           
4            470       107	   417	      94
5            555       141	   407	      99
6            522       108	   412	      92
7            472       113	   415	      99
8            411       103	   447	      113
9            460       107	   429	      107
10           649       171	   420	      120
13           448       120	   410	      102
14           542       138	   431	      101
15           560       152	   428	      110
16           392       100	   390	      128
