Comparison of mean adc for PMT 12 before and after resistors.
             (1603)                (1608)
Pixel        Mean      Sigma       Mean       Sigma
1	     755.3     205.7	   290.6      85.2         
2	     520.5     125.3	   287.8      73.6
3	     385.4     82.1	   253.0      218.3
4	     506.1     111.1	   296.2      72.1     
5	     611.2     118.4	   302.3      78.2
6	     545.3     132.7	   275.4      56.7
7	     477.8     109.3	   258.0      49.4
8	     499.7     91.5	   279.1      59.5
9	     455.2     89.5	   283.5      91.6
10	     398.1     85.9	   279.5      69.8
12	     450.8     82.5	   283.0      62.0
14	     331.6     73.7	   241.2      93.9
15	     322.3     78.6	   237.1      76.2
16	     536.0     130.2	   280.7      76.3
