Comparison of mean adc for PMT 13 before and after resistors.
             (1603)                (1608)
Pixel        Mean      Sigma       Mean       Sigma         
2	     1319.9    409.4	   877.0      418.9
3	     779.2     152.9	   815.7      229.2
4	     1771.9    350.5	   919.9      240.2           
5	     949.9     177.7	   950.3      264.7
6	     1701.9    346.2	   960.7      204.9
7	     1293.5    296.0	   985.9      235.5
9	     1224.0    256.8	   902.7      302.9
10	     952.6     187.8	   1014.4     197.4
11	     895.6     292.3	   936.2      276.2
12	     1083.6    263.5	   956.0      237.0
13	     1338.3    244.5	   967.0      387.8
14	     1150.7    308.3	   970.7      244.5
15	     1115.6    367.9	   884.8      227.6
16	     3666.4    668.2	   984.5      305.3
