Comparison of mean adc for PMT 8 before and after resistors.
             (1602)                (1604)
Pixel        Mean      Sigma       Mean       Sigma
1	     1092      387	   845.1      231.2        
2	     805       207	   801.3      196.2
3	     768       161	   847.5      176.2       
5	     784       172	   862.4      219.5
6	     1055      237	   810.1      178.2
8	     808       234	   809.8      203.4
9	     816       161	   881.6      213.5
10	     1047      301	   838.3      230.0
11	     945       273	   794.9      204.1
12	     1045      412	   809.4      179.9
13	     2447      607	   798.6      255.7
14	     653       164	   734.9      300.0
15	     743       191	   767.8      248.9
16	     6010      1118	   839.0      229.4
