Comparison of mean adc for PMT 3 before and after resistors.
             (1593)                (1602)
Pixel        Mean      Sigma       Mean       Sigma
1  	     370       72	   418.6      89.0       
2            930       147	   455.5      123.5
3	     598       104	   469.8      93.5       
5            544       118	   478.8      121.1
6            763       169	   467.8      114.1
7            583       127	   452.0      122.0
8            549       100	   474.8      94.2
9            497       98	   479.9      85.7
10           750       166	   485.0      112.9
11           4026      769	   1022.5     247.5
12           605       134	   465.4      105.1
13           532       104	   483.5      106.4
15           678       147	   487.1      114.2
16           585       159	   458.9      159.6
