Comparison of mean adc for PMT 14 before and after resistors.
             (1603)                (1608)
Pixel        Mean      Sigma       Mean       Sigma
1	     904.3     229.1	   540.6      149.3         
2	     624.0     160.4	   608.1      186.8
3	     482.0     127.0	   490.2      152.1
4	     751.0     183.3	   566.3      168.7           
5	     567.4     146.2	   567.4      148.4
6	     874.4     272.5	   613.2      126.5
7	     978.8     263.0	   592.9      125.0
8	     940.2     351.1	   565.4      119.8
9	     765.8     293.8	   463.9      100.0
10	     661.3     337.5	   568.3      134.4
11	     711.4     172.5	   596.3      129.3
12	     691.0     346.4	   623.1      115.8
15	     450.0     241.8	   533.9      115.5
16	     722.9     240.0	   1085.7     360.2
