Comparison of mean adc for PMT 5 before and after resistors.
             (1593)                (1602)
Pixel        Mean      Sigma       Mean       Sigma
1  	     855       377	   396.3      145.6         
2            1368      351	   365.4      113.9
3	     1064      397	   405.3      101.3       
5            745       174	   357.2      65.5
6            775       149	   365.9      90.7
7            651       146	   352.6      87.3
8            726       153	   380.6      93.9
9            559       89	   388.7      83.3
10           662       110	   366.3      84.6
11           572       112	   395.3      87.5
12           534       117	   360.5      86.1
13           542       132	   365.0      90.6
15           293       95	   297.6      84.8
16           622       149	   364.5      127.4
