Comparison of mean adc for PMT 4 before and after resistors.
             (1593)                (1602)
Pixel        Mean      Sigma       Mean       Sigma
2  	     1596      346	   491.6      130.0        
3            745       221	   517.9      166.7
5	     554       122	   465.9      111.5       
6            915       256	   512.0      113.2
7            733       220	   510.4      115.4
8            674       125	   505.1      106.4
9            384       77	   418.1      101.1
10           509       107	   461.4      144.9
11           563       127	   485.2      103.5
12           803       157	   492.8      99.5
13           572       128	   477.9      112.2
14           901       187	   468.7      114.9
15           466       92	   444.4      95.0
16           459       101	   475.3      109.4
