Comparison of mean adc for PMT 9 before and after resistors.
             (1603)                (1605)
Pixel        Mean      Sigma       Mean       Sigma
1	     807.5     241.6	   473.4      118         
3	     581.6     144.1	   544.5      150.6
4            1228.3    307.6	   552.4      155.8
5	     643.8     122.5	   488.0      120.2
6	     405.7     74.9	   461.4      89.4
7	     446.8     91.2	   482.9      107.2	
8	     737.6     148.1	   533.5      120.8
9	     1106.6    211.1	   548.6      150.5
10	     879.5     277.6	   565.5      141.8
11	     1079.1    275.2	   528.2      139.5
12	     1371.1    369.3	   504.5      184.4
13	     2092.8    839.9	   559.4      155.1
14	     1315.6    290.5	   481.4      240.4
15	     1803.3    460.6	   523.9      213.9	      0
