Comparison of mean adc for PMT 3 before and after resistors.
             (1709)    	       	 	(1722)
Pixel        Mean      Sigma       Mean       Sigma
1	     387       85.0	   375.9      101.2
3	     364       83.2	   390.6      159.5
4	     462       117.7	   398.7      103.8
5	     391       85.7	   380.0      97.5
6	     484       86.2	   397.3      84.1
7	     316       58.1	   337.5      89.4
8	     357       76.3	   355.1      107.5
9	     426       105.3	   298.0      75.2
10	     487       112.8	   383.9      118.8
11	     2588      325.4	   393.1      131.2
12	     392       84.7	   403.8      130.0
14	     358       73.7	   358.0      93.2
15	     412       114.3	   395.4      124.8
16	     369       78.9        396.8      89.4
