Comparison of mean adc for PMT 4 before and after resistors.
             (1709)    	       	 	(1722)
Pixel        Mean      Sigma       Mean       Sigma
1	     872       114.3	   784.4      180.9
2	     2224      169.7	   1011.1     288.3
3	     1012      133.3	   914.0      202.7
4	     986       118.9	   879.8      212.1
5	     795       149.7	   871.1      172.8
6	     1811      194.4	   853.8      162.7
7	     1347      207.0	   901.4      158.4
8	     821       107.9	   847.0      213.8
9	     670       146.7	   707.5      155.8
10	     841       170.5	   883.5      233.6
12	     997       192.5	   805.8      224.0
13	     859       167.7	   846.8      197.6
15	     796       185.7	   801.2      157.4
16	     701       152.4	   748.9      165.4
