Comparison of mean adc for PMT 13 before and after resistors.
             (1718)    	       	  	 (1736)
Pixel        Mean      Sigma       Mean       Sigma         
2	     414.8     150.0	   287.5      129.5
3	     266.0     82.6	   274.9      102.0
5	     245.9     163.3	   293.9      142.8
6	     592.7     196.6	   296.4      127.2      
7	     351.5     145.7	   276.0      122.8
8	     477.2     144.2	   312.9      75.1
9	     442.6     137.5       310.9      104.6	   
10	     306.9     115.0	   313.5      112.2
11	     346.5     167.3	   345.3      103.3
12	     707.8     211.5       300.8      118.9	   
13	     356.9     118.5	   289.7      110.0
14	     384.1     110.9	   303.3      87.5
15	     308.6     96.1	   297.2      92.3
16	     1613.3    568.1	   293.7      86.6
