Comparison of mean adc for PMT 10 before and after resistors.
             (1714)    	       	  	 (1729)
Pixel        Mean      Sigma       Mean       Sigma
1	     453.2     143.7	   473.1      178.5
2	     531.5     152.3	   474.0      280.4
3	     475.0     118.9	   472.1      196.0
4	     507.1     110.6	   501.7      152.0
5	     590.8     159.5	   501.0      149.3
6	     642.8     219.4	   528.4      115.7
7	     743.7     166.0	   515.4      183.6
8	     504.4     133.4	   489.8      129.4
9	     431.9     169.7	   487.0      163.5
10	     606.4     142.5	   469.2      133.5
11	     496.4     116.9	   494.5      167.8
12	     599.6     178.5	   499.2      119.6
13	     602.4     164.3	   492.2      133.6
15	     387.6     129.7	   320.0      176.5
