Comparison of mean adc for PMT 13 before and after resistors.
	      	   (1790)      	  	     	   (1808)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
2	      827.5    255.7		    455.7	141.5
3	      558.9    128.4		    461.3	131.5
4	      1338.2   271.8		    461.8	105.0	
5	      654.0    127.2		    464.1	109.2
6	      966.6    240.2	       	    477.5	101.3
7	      625.8    146.8		    466.8	148.9
8	      763.4    200.6		    451.4	140.9
9	      918.8    259.1		    485.4	109.8
10	      515.5    115.8		    453.0	100.2
11	      380.1    85.4		    392.9	109.5
12	      1033.3   226.4		    464.1	122.9
13	      589.5    138.5		    485.0	138.6
15	      425.5    102.6		    428.2	105.4
16	      1770.8   417.4		    463.3	143.3
