Comparison of mean adc for PMT 3 before and after resistors.
	      	   (1787)      	 	    	  (1794)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
2	      360.0    106.6		    288.3	72.2
3	      318.7    83.9		    353.4	100.4
4	      390.7    130.1		    239.7	87.2
5	      256.9    74.0		    204.7	52.9
7	      232.0    74.9		    191.1	44.9
8	      220.2    80.6		    188.1	47.7
9	      233.7    57.7		    189.0	44.0
10	      289.2    96.3		    282.5	71.3
11	      1470.1   328.1		    252.8	96.7
12	      326.7    94.7		    258.2	74.2
13	      264.5    84.4		    219.1	52.0
14	      252.7    69.4		    198.7	44.0
15	      323.2    79.8		    281.1	68.8
16	      342.9    68.4		    268.8	65.1
