Comparison of mean adc for PMT 7 before and after resistors.
	      (1788)   	       	 	    	  (1805)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
2	      223.7    114.0		    235.5	85.8
3	      287.8    78.0		    258.3	63.5
4	      389.3    110.4		    314.0	90.1
5	      286.9    115.3		    290.4	92.4
6	      452.1    119.6		    266.2	82.4   
7	      445.2    147.3		    273.5	72.5
8	      409.1    131.1		    267.6	89.3
9	      560.5    142.0		    218.3	89.0
10	      375.2    92.5		    282.4	98.9
11	      383.0    115.0		    298.7	78.9
12	      381.7    109.4		    275.6	72.5
14	      338.2    113.0		    265.4	82.5
15	      223.3    128.2		    298.8	146.7
16	      3493.7   867.0		    267.4	138.4	
