Comparison of mean adc for PMT 14 before and after resistors.
	      	   (1790)      	  	     	   (1812)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
2	      455.2    114.0		    308.8	100.3
3	      703.6    152.9		    263.5	129.4
5	      456.9    93.0		    275.2	112.1
6	      598.6    158.2		    296.6	88.2
7	      562.7    137.8		    296.8	102.8
8	      633.1    187.2		    311.7	99.5
9	      369.1    91.0		    292.5	96.1
10	      329.5    90.5		    291.9	91.0
11	      420.3    107.5		    323.4	83.3
12	      457.7    112.9		    317.5	90.4
13	      513.5    149.1		    305.4	111.2
14	      420.5    80.7		    340.3	78.2
15	      261.0    60.5		    210.6	62.2	
16	      1182.6   191.6		    339.0	72.2
