Comparison of mean adc for PMT 9 before and after resistors.
	      	   (1791)      	 	    	  (1807)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
1	      670.0    194.5		    661.0	220.0
2	      893.7    263.8		    692.1	221.5
3	      623.3    193.8		    695.3	180.0
4	      1002.2   218.3		    706.0	177.8
5	      673.9    183.8		    640.2	168.7
6	      556.9    182.9		    708.5	140.3
7	      483.1    124.0		    514.9	117.9
9	      1116.3   316.1	      	    704.5	173.1
10	      1287.3   368.2		    668.0	162.6
11	      1179.1   306.4		    670.4	140.4
12	      1014.9   246.4		    674.6	171.2
14	      2187.7   467.1	      	    652.9	222.2
15	      1828.2   562.1		    693.6	237.7
16	      3377.1   945.6		    632.8	216.7
