Comparison of mean adc for PMT 5 before and after resistors.
	      	   (1785)      	 	    	  (1803)
Pixel	      Mean     Sigma   	 	    Mean	Sigma
1	      483.4    195.8		    393.6	104.7
2	      741.2    226.5		    393.6	109.7
3	      310.5    98.4		    325.0	98.6
4	      1427.8   334.3		    394.4	114.9
5	      378.6    87.3		    394.7	109.7
6	      379.6    113.5		    385.2	121.8
7	      333.0    114.3		    369.5	113.3
8	      357.6    112.4		    374.9	115.8
9	      314.6    63.6      	    322.0	78.0		
10	      378.7    87.4		    380.5	101.9
11	      331.9    76.8		    313.3	98.3
12	      374.9    94.9		    358.1	124.7
14	      2489.6   546.6		    416.9	90.1
15	      324.3    77.8		    322.5	93.1
