Comparison of mean ADC for PMT 4 before and after resistors optimized.
	      Run 1898 	       	 	Run 1913
Pixel	      Mean	Sigma		Mean	Sigma
1	      559.8	157.9		526.0	145.8
2	      1374.6	383.5		518.4	131.3
3	      502.0	140.9		512.4	146.6
4	      541.0	126.5		525.4	138.5
5	      520.0	138.2		513.1	135.5
6	      1053.1	241.0		558.6	140.5
8	      580.0	168.1		517.5	130.8
9	      422.2	103.1		453.0	127.5
10	      575.4	148.0		510.7	114.2
12	      694.5	182.2		532.7	137.6
13	      607.4	152.1		517.5	173.7
14	      701.3	160.9		527.8	154.6
15	      459.3	109.0		472.9	109.4
16	      474.7	119.3		455.5	109.9
