Comparison of mean ADC for PMT 6 before and after resistors optimized.
	      Run 1899 	       	 	Run 1915
Pixel	      Mean	Sigma		Mean	Sigma
2	      520.7	172.1		323.5	110.2
3	      2440	608		540.0	206.7
4	      742.2	194.4		355.0	115.2
5	      404.3	124.6		316.3	140.3
6	      542.1	160.8		346.7	155.2
7	      308.0	99.5		272.8	98.2
8	      471.2	211.3		375.1	160.2
9	      295.4	78.9		247.8	78.9
10	      494.4	223.0		398.6	140.2
11	      407.7	156.6		382.3	112.4
12	      437.8	105.5		357.3	94.2
13	      682.0	159.4		344.0	116.4
14	      517.9	117.8		325.7	111.9
16	      515.3	155.3		368.8	110.9
