Comparison of mean ADC for PMT 12 before and after resistors optimized.
	      Run 1909 	       	 	Run 1924
Pixel	      Mean	Sigma		Mean	Sigma
1	      507.8	160.5		192.3	63.4
2	      241.7	78.3		173.5	70.2
3	      192.8	52.6		187.6	52.9
4	      231.6	84.3		206.8	67.7
6	      169.0	67.8		208.5	67.8
7	      166.0	48.2		157.7	51.7
8	      196.8	96.8		238.8	74.4
10	      157.1	87.9		190.5	67.6
11	      151.8	42.3		138.3	46.6
12	      155.7	53.0		146.4	58.2
13	      448.3	146.0		183.2	64.6
14	      225.3	62.3		181.5	62.3
15	      275.5	110.6		203.9	80.4
16	      335.9	96.6		178.5	55.2
