Comparison of mean ADC for PMT 5 before and after resistors optimized.
	      Run 1899 	       	 	Run 1915
Pixel	      Mean	Sigma		Mean	Sigma
1	      553.5	213.0		581.9	160.5
2	      1260	312		534.5	166.1	
3	      1080	306		568.8	136.6
4	      2620	493		554.5	148.9
6	      748.8	181.6		558.4	140.0
7	      872.1	204.9		561.4	175.4
8	      785.5	175.2		553.2	125.8
9	      444.7	114.4		413.4	103.9
10	      677.7	191.8		535.9	164.1
11	      617.8	151.8		573.9	138.8
12	      612.5	166.8		562.4	141.9
13	      558.7	165.6		528.4	128.5
14	      4710	785.5		589.9	141.8
15	      560.7	178.9		465.1	202.4
