Comparison of mean ADC for PMT 13 before and after resistors optimized.
	      Run 1909 	       	 	Run 1924
Pixel	      Mean	Sigma		Mean	Sigma
2	      502.3	167.3		439.1	165.0
3	      519.1	134.1		439.5	97.8
4	      1044	200.4		574.1	147.9
5	      579.8	142.5		455.9	98.3
6	      860	187.2		627.0	147.2
7	      659.2	187.1		517.8	134.0
8	      567.2	149.8		465.7	133.8
9	      797	160.8		620.8	162.3
10	      485.7	106.0		394.8	82.9	
11	      566.9	144.9		458.9	109.2
12	      831	176.6		603.8	151.9
14	      595.4	127.6		489.8	121.4
15	      664	176.6		537.2	176.9
16	      2364	489		658.9	210.2
