Comparison of mean ADC for PMT 8 before and after resistors optimized.
	      Run 1899 	       	 	Run 1915
Pixel	      Mean	Sigma		Mean	Sigma
1	      282.3	98.2		238.3	120.1
2	      234.2	112.9		247.9	78.1
3	      327.0	101.1		303.5	81.8
5	      385.8	131.0		285.5	109.3
6	      362.7	106.9		312.1	75.9
7	      324.4	131.8		332.7	98.6
8	      285.1	81.2		268.9	62.0
9	      333.2	169.7		347.4	106.4
10	      316.8	99.7		284.8	83.0
11	      341.2	93.6		309.3	89.6
12	      409.4	85.1		291.0	98.3
14	      254.1	66.1		231.1	41.0
15	      346.2	72.5		299.2	68.5
16	      2190	733		431.1	225.0
