Comparison of mean ADC for PMT 7 before and after resistors optimized.
	      Run 1899 	       	 	Run 1915
Pixel	      Mean	Sigma		Mean	Sigma
2	      342.6	92.7		334.5	98.2
3	      328.9	90.0		323.3	88.1
4	      398.5	124.6		357.6	112.9
5	      346.5	80.1		326.4	103.1
6	      474.6	161.8		381.6	111.9
7	      475.7	147.1		341.1	100.7
8	      381.6	90.5		326.5	109.9
9	      472.1	142.0		335.6	98.5
10	      471.8	120.8		342.9	85.7
11	      370.4	119.6		354.1	97.1
12	      279.6	75.5		277.7	75.8
14	      343.4	101.5		352.3	111.1
15	      316.0	82.3		293.3	86.4	
16	      2559	788		489.0	223.4
