Comparison of mean ADC for PMT 14 before and after resistors optimized.
	      Run 1909 	       	 	Run 1924
Pixel	      Mean	Sigma		Mean	Sigma
1	      481.4	159.6		314.5	74.1
3	      680.7	133.2		329.7	85.4
4	      269.7	134.6		233.2	68.5
5	      310.5	99.4		265.5	74.6
6	      639.5	164.0		322.6	81.4
7	      574.8	140.7		328.8	80.2
8	      597.9	152.4		339.0	84.5
9	      330	80.1		246.4	62.8
10	      379.2	120.6		348.6	89.7
11	      376.9	120.9		316.0	86.3
12	      436.0	140.0		360.4	103.6
14	      305.8	90.0		242.9	63.2
15	      374.0	98.0		310.1	93.0
16	      994	258		278.8	127.9
