Comparison of mean ADC for PMT 3 before and after resistors optimized.
	      Run 1898 	       	 	Run 1913
Pixel	      Mean	Sigma		Mean	Sigma
1	      302.2	74.3		269.9	98.9
2	      418.9	148.5		296.2	115.6
3	      363.6	101.3		304.2	92.8
4	      327.7	98.9		298.1	88.4
5	      301.7	90.0		292.6	92.9
6	      389.7	108.7		305.0	94.2
7	      311.8	90.2		265.0	93.8
8	      248.4	73.6		214.8	78.0
9	      247.4	85.3		214.8	82.4
11	      2164.6	586.4		493.8	145.3
12	      387.5	90.7		280.3	82.9
13	      298.8	107.5		278.1	99.1
14	      299.6	92.6		278.5	85.3
15	      352.4	106.0		317.7	101.1
