Comparison of mean ADC for PMT 2 before and after resistors optimized.
	      Run 1898 	       	 	Run 1912
Pixel	      Mean	Sigma		Mean	Sigma
1	      652.1	144.5		669.6	152.5
2	      556.7	160.6		583.3	147.9
3	      787.6	227.3		669.4	148.1
4	      710.5	168.9		729.4	172.9
5	      1073.0	209.1		655.6	159.5
6	      578.0	136.1		592.7	175.5
7	      643.9	187.9		693.4	182.9
8	      740.0	193.8		719.5	175.6
9	      732.5	187.6		683.2	175.1
10	      679.1	150.9		707.1	157.5
11	      800.9	185.1		688.5	157.5
12	      654.9	152.8		664.2	158.3
14	      683.0	178.8		688.9	170.7
15	      668.9	165.9		693.5	164.1
