Comparison of mean ADC for PMT 10 before and after resistors optimized.
	      Run 1899 	       	 	Run 1920
Pixel	      Mean	Sigma		Mean	Sigma
1	      345.1	103.3		282.3	88.8
2	      315.6	120.5		309.3	99.0
3	      278.5	72.5		243.9	79.4
5	      315.1	104.9		258.7	103.2
6	      385.8	127.1		344.5	107.3
7	      354.5	121.3		285.6	87.5		
8	      345.8	130.2		305.6	99.2
9	      285.7	112.9		262.5	85.0
10	      290.9	103.7		248.5	102.3
11	      300.7	90.7		257.4	73.0
12	      355.0	117.7		296.6	103.4
14	      300.2	90.1		262.7	88.5
15	      293.2	72.5		249.1	74.7
16	      1097	268		426.0	121.3
