Comparison of mean ADC for PMT 11 before and after resistors optimized.
	      Run 1909 	       	 	Run 1920
Pixel	      Mean	Sigma		Mean	Sigma
2	      370.4	122.1		316.6	114.4
3	      361.2	132.7		303.5	130.2
5	      324.2	140.7		310.9	123.5
6	      506.4	158.9		395.0	143.3
7	      887.9	234.9		348.0	113.9
8	      915.6	174.1		353.1	123.3
9	      310.4	98.4		243.1	119.2
10	      514.6	142.9		326.3	144.2
11	      338.2	98.5		250.3	101.8		
12	      1064	225.6		314.1	137.1
13	      561.6	157.5		301.3	146.5
14	      564.1	148.2		353.5	115.1
15	      543.7	155.7		370.0	137.8
16	      542.4	214.7		352.5	141.4
