Comparison of mean ADC for PMT 1 before and after resistors optimized.
	      Run 1898 	       	 	Run 1912
Pixel	      Mean	Sigma		Mean	Sigma
1	      504.8	201.4		614	160
2	      697.8	137.6		687	163	
3	      635.1	130.3		652.2	132.9	
4	      685.2	166.7		692.3	188.7
5	      724.8	145.2		745.2	180.7
6	      650.2	150.8		690.4	165.0
7	      874.6	174.0		702.5	160.0
8	      776.8	157.0		788.9	178.0
9	      852.3	164.5		790.6	166.8
10	      622.4	219.9		619.3	233.4
11	      1133.3	264.8		707	154
12	      879.8	165.6		760.3	158.0
14	      1157.7	212.1		750	166
15	      1073.5	234.7		730.1	183.6
